dataset,index,direction,variant,mapping_cpu,mapping_wall,capped,best_representative_events,best_verified_events,full_representatives,target_score,target_status,recovery
holdout,26,R_to_P,original,33.343139017999995,7.3554515186697245,False,6,,1010,,,unknown
holdout,26,R_to_P,metal_binary,40.485827314999995,9.863499043509364,False,6,,1008,,,unknown
holdout,27,R_to_P,original,27.936541142000003,5.474517379887402,False,4,,208,,,unknown
holdout,27,R_to_P,metal_binary,33.20228356,7.036383253522217,False,4,,205,,,unknown
holdout,28,R_to_P,original,36.286482481,9.186832530423999,False,3,,1180,,,unknown
holdout,28,R_to_P,metal_binary,39.026324407000004,10.350946551188827,False,3,,1178,,,unknown
holdout,29,R_to_P,original,7.200237002,1.2061390755698085,False,3,,87,,,unknown
holdout,29,R_to_P,metal_binary,6.339459253999999,1.0608848370611668,False,3,,84,,,unknown
holdout,30,R_to_P,original,6.551072571999999,1.1072090081870556,False,3,,87,,,unknown
holdout,30,R_to_P,metal_binary,6.692697352000001,1.161309126764536,False,3,,84,,,unknown
holdout,31,R_to_P,original,14.807359527,3.010287767276168,False,5,,600,,,unknown
holdout,31,R_to_P,metal_binary,14.695665757999999,2.8909210162237287,False,5,,592,,,unknown
holdout,32,R_to_P,original,9.039633318000002,1.4339148625731468,False,4,,196,,,unknown
holdout,32,R_to_P,metal_binary,11.461069785000001,1.7427020706236362,False,4,,197,,,unknown
holdout,33,R_to_P,original,9.325694073,1.4729413874447346,False,2,,202,,,unknown
holdout,33,R_to_P,metal_binary,10.635173140999997,1.6229429813101888,False,2,,204,,,unknown
holdout,34,R_to_P,original,8.985876698,1.4351513972505927,False,2,,195,,,unknown
holdout,34,R_to_P,metal_binary,9.558322922,1.496492880396545,False,2,,196,,,unknown
holdout,35,R_to_P,original,5.893617581,1.017546035349369,False,1,,177,,,unknown
holdout,35,R_to_P,metal_binary,6.162717529,1.04978012945503,False,1,,175,,,unknown
holdout,36,R_to_P,original,7.989089892,3.013401792384684,False,1,,974,,,unknown
holdout,36,R_to_P,metal_binary,8.500447225,3.2055292995646596,False,1,,974,,,unknown
holdout,37,R_to_P,original,9.597607339,4.419449777342379,True,2,,1175,,,unknown
holdout,37,R_to_P,metal_binary,9.346039943000001,4.335298649035394,True,2,,1168,,,unknown
holdout,38,R_to_P,original,7.072792986,1.2934153620153666,False,5,,273,,,unknown
holdout,38,R_to_P,metal_binary,7.436734830000001,1.3784442245960236,False,5,,273,,,unknown
holdout,39,R_to_P,original,7.338057306999999,1.2201557587832212,False,3,,308,,,unknown
holdout,39,R_to_P,metal_binary,7.21553463,1.202833365648985,False,3,,308,,,unknown
holdout,40,R_to_P,original,6.867938265,1.1603661747649312,False,4,,290,,,unknown
holdout,40,R_to_P,metal_binary,7.022332751,1.1835905201733112,False,4,,290,,,unknown
holdout,41,R_to_P,original,6.388375501999999,1.1515686428174376,False,4,,245,,,unknown
holdout,41,R_to_P,metal_binary,6.155726138,1.0735189290717244,False,4,,245,,,unknown
holdout,42,R_to_P,original,6.929425191,1.2029707506299019,False,3,,270,,,unknown
holdout,42,R_to_P,metal_binary,6.946963906000001,1.1954537089914083,False,3,,271,,,unknown
holdout,43,R_to_P,original,6.085464706,1.0771377421915531,False,3,,244,,,unknown
holdout,43,R_to_P,metal_binary,6.1077390220000005,1.0513196848332882,False,3,,244,,,unknown
holdout,44,R_to_P,original,14.327410886000001,7.28937681671232,True,2,,1288,,,unknown
holdout,44,R_to_P,metal_binary,13.26520092,5.986846212297678,True,2,,1247,,,unknown
holdout,45,R_to_P,original,13.903864206000002,6.83709779381752,True,2,,1229,,,unknown
holdout,45,R_to_P,metal_binary,9.416127154000002,2.107209271751344,False,2,,268,,,unknown
holdout,46,R_to_P,original,8.606900373999999,1.38115927670151,False,3,,265,,,unknown
holdout,46,R_to_P,metal_binary,9.951971815,1.5414002053439617,False,3,,267,,,unknown
holdout,47,R_to_P,original,9.001797862,1.4260031003504992,False,2,,261,,,unknown
holdout,47,R_to_P,metal_binary,7.643533629,1.4455914422869682,False,2,,382,,,unknown
holdout,48,R_to_P,original,15.831789831,8.557870937511325,True,5,,1226,,,unknown
holdout,48,R_to_P,metal_binary,16.456496016000003,8.702451593242586,True,5,,1226,,,unknown
holdout,49,R_to_P,original,15.455222098,7.743668711744249,True,3,,1236,,,unknown
holdout,49,R_to_P,metal_binary,15.930595718,7.9227132042869925,True,3,,1237,,,unknown
holdout,50,R_to_P,original,9.045280539000002,1.4510155292227864,False,2,,202,,,unknown
holdout,50,R_to_P,metal_binary,10.849498676000001,1.646608168259263,False,2,,204,,,unknown
holdout,51,R_to_P,original,9.048184649999998,1.4184693424031138,False,2,,195,,,unknown
holdout,51,R_to_P,metal_binary,9.235578471,1.4517134884372354,False,2,,196,,,unknown
holdout,52,R_to_P,original,5.817193959999999,0.9640616104006767,False,1,,177,,,unknown
holdout,52,R_to_P,metal_binary,6.36903944,1.0438936538994312,False,1,,175,,,unknown
holdout,53,R_to_P,original,8.191077689999998,3.1133020920678973,False,1,,974,,,unknown
holdout,53,R_to_P,metal_binary,8.352029912999999,3.1061352593824267,False,1,,974,,,unknown
holdout,54,R_to_P,original,9.304231319,4.246581407263875,True,2,,1175,,,unknown
holdout,54,R_to_P,metal_binary,9.711928599,4.408569783903658,True,2,,1168,,,unknown
holdout,55,R_to_P,original,14.272011427999997,7.117247220128775,True,2,,1288,,,unknown
holdout,55,R_to_P,metal_binary,12.958766631000001,5.781149278394878,True,2,,1247,,,unknown
holdout,56,R_to_P,original,13.933697813,6.803823905065656,True,2,,1229,,,unknown
holdout,56,R_to_P,metal_binary,9.942238784000002,1.8275492126122117,False,2,,268,,,unknown
holdout,57,R_to_P,original,9.167038193999998,1.4557201080024242,False,3,,265,,,unknown
holdout,57,R_to_P,metal_binary,9.915588873999999,1.5308460304513574,False,3,,267,,,unknown
holdout,58,R_to_P,original,9.211356487000002,1.4960687328130007,False,2,,261,,,unknown
holdout,58,R_to_P,metal_binary,8.032776474,1.51043058373034,False,2,,382,,,unknown
holdout,59,R_to_P,original,0.551524003,0.14416057337075472,False,2,,11,,,unknown
holdout,59,R_to_P,metal_binary,0.592189273,0.5082015218213201,False,2,,11,,,unknown
holdout,60,R_to_P,original,0.5646395849999998,0.16604416444897652,False,3,,17,,,unknown
holdout,60,R_to_P,metal_binary,0.5823563150000001,0.15111294388771057,False,3,,17,,,unknown
