dataset,index,variant,recovery,searches_complete,compute_cpu_seconds,best_events
golden,0,seeds3,recovered,True,235.928799019,
golden,0,seeds10,recovered,True,760.5901194840001,
golden,1,seeds3,recovered,True,8.529930387,
golden,1,seeds10,recovered,True,24.356131474,
golden,2,seeds3,recovered,True,21.830828193999995,
golden,2,seeds10,recovered,True,58.612129817,
golden,3,seeds3,recovered,True,6.499696288,
golden,3,seeds10,recovered,True,18.93137201,
golden,4,seeds3,recovered,True,9.973481240000002,
golden,4,seeds10,recovered,True,23.602022513,
golden,5,seeds3,recovered,True,2.9359044250000004,
golden,5,seeds10,recovered,True,7.172493429000001,
golden,6,seeds3,recovered,True,1.219672295,
golden,6,seeds10,recovered,True,1.9635179580000002,
golden,7,seeds3,not_recovered,True,50.27102911600001,
golden,7,seeds10,not_recovered,True,132.81632839899999,
golden,8,seeds3,recovered,True,10.592829063,
golden,8,seeds10,recovered,True,24.874343300000007,
golden,9,seeds3,recovered,True,5.285867067,
golden,9,seeds10,recovered,True,12.024589522000001,
golden,10,seeds3,recovered,True,24.518797843999998,
golden,10,seeds10,recovered,True,62.469150379999995,
golden,11,seeds3,recovered,True,6.500441821,
golden,11,seeds10,recovered,True,17.844769938,
golden,12,seeds3,recovered,True,19.90111803,
golden,12,seeds10,recovered,True,38.871325664,
golden,13,seeds3,recovered,True,27.112803976000002,
golden,13,seeds10,recovered,True,77.625282698,
golden,14,seeds3,recovered,True,5.5665003550000005,
golden,14,seeds10,recovered,True,14.334629097,
golden,15,seeds3,recovered,True,4.7788910719999995,
golden,15,seeds10,recovered,True,10.613496249,
golden,16,seeds3,recovered,True,29.335717865,
golden,16,seeds10,recovered,True,86.675229462,
golden,17,seeds3,recovered,True,198.01930525300003,
golden,17,seeds10,recovered,True,644.4799580040001,
golden,18,seeds3,recovered,True,1.7555201779999998,
golden,18,seeds10,recovered,True,3.3413111420000003,
golden,19,seeds3,not_recovered,True,117.35119136199998,
golden,19,seeds10,unknown,True,376.043178039,
golden,20,seeds3,recovered,True,13.686890639000001,
golden,20,seeds10,recovered,True,39.062661485999996,
golden,21,seeds3,recovered,True,5.300486178999999,
golden,21,seeds10,recovered,True,13.229490406,
golden,22,seeds3,recovered,True,13.056691008999998,
golden,22,seeds10,recovered,True,28.362547958000004,
golden,23,seeds3,recovered,True,2.45430338,
golden,23,seeds10,recovered,True,5.7705031579999995,
golden,24,seeds3,recovered,True,6.379422932000001,
golden,24,seeds10,recovered,True,12.801740368,
golden,25,seeds3,recovered,True,21.155764204,
golden,25,seeds10,recovered,True,65.11324976200001,
golden,26,seeds3,recovered,True,6.994362947,
golden,26,seeds10,recovered,True,14.905536861999998,
golden,27,seeds3,recovered,True,36.25980849300001,
golden,27,seeds10,recovered,True,103.67909990199999,
golden,28,seeds3,recovered,True,2.8912464540000005,
golden,28,seeds10,recovered,True,6.17716379,
golden,29,seeds3,recovered,True,66.93348381799998,
golden,29,seeds10,recovered,True,220.124660721,
golden,30,seeds3,recovered,True,15.650668851000002,
golden,30,seeds10,recovered,True,42.313379474,
golden,31,seeds3,recovered,True,4.464254261999999,
golden,31,seeds10,recovered,True,9.470731563,
golden,32,seeds3,recovered,True,31.62908343,
golden,32,seeds10,recovered,True,87.31214400700001,
golden,33,seeds3,recovered,True,30.649855038,
golden,33,seeds10,recovered,True,92.04828325700001,
golden,34,seeds3,recovered,True,6.995036376999999,
golden,34,seeds10,recovered,True,15.102697355999998,
golden,35,seeds3,recovered,True,11.226294549999999,
golden,35,seeds10,recovered,True,26.163681293,
golden,36,seeds3,recovered,True,12.597718200000001,
golden,36,seeds10,recovered,True,33.235280110999994,
golden,37,seeds3,recovered,True,8.735003296999999,
golden,37,seeds10,recovered,True,26.378467521999994,
golden,38,seeds3,recovered,True,2.221779701,
golden,38,seeds10,recovered,True,3.3492386010000006,
golden,39,seeds3,recovered,True,55.597289715,
golden,39,seeds10,recovered,True,161.604141455,
golden,40,seeds3,recovered,True,31.59105501600001,
golden,40,seeds10,recovered,True,93.43010084600002,
golden,41,seeds3,recovered,True,17.368501173,
golden,41,seeds10,recovered,True,44.861666635000006,
golden,42,seeds3,recovered,True,9.961239779,
golden,42,seeds10,recovered,True,25.7357722,
golden,43,seeds3,recovered,True,1.9605897449999998,
golden,43,seeds10,recovered,True,3.5311366699999995,
golden,44,seeds3,recovered,True,60.405935863,
golden,44,seeds10,recovered,True,193.46953895099995,
golden,45,seeds3,recovered,True,5.575284324999999,
golden,45,seeds10,recovered,True,12.385918242,
golden,46,seeds3,recovered,True,12.886451757999998,
golden,46,seeds10,recovered,True,36.515021143999995,
golden,47,seeds3,recovered,True,1.459675061,
golden,47,seeds10,recovered,True,1.8243911220000002,
golden,48,seeds3,recovered,True,112.936825733,
golden,48,seeds10,recovered,True,336.019949003,
golden,49,seeds3,recovered,True,2.8591759870000004,
golden,49,seeds10,recovered,True,5.402659364,
golden,50,seeds3,recovered,True,1.274590493,
golden,50,seeds10,recovered,True,2.312855228,
golden,51,seeds3,recovered,True,1.9360539099999996,
golden,51,seeds10,recovered,True,3.4938078649999995,
golden,52,seeds3,recovered,True,3.982470620999999,
golden,52,seeds10,recovered,True,9.097024368,
golden,53,seeds3,recovered,True,5.100852257,
golden,53,seeds10,recovered,True,10.740644697999997,
golden,54,seeds3,recovered,True,3.2779589379999994,
golden,54,seeds10,recovered,True,5.406163139,
golden,55,seeds3,recovered,True,10.991164301,
golden,55,seeds10,recovered,True,23.526842860000002,
golden,56,seeds3,recovered,True,18.225882804,
golden,56,seeds10,recovered,True,44.184714104,
golden,57,seeds3,recovered,True,1.4977917179999998,
golden,57,seeds10,recovered,True,2.86046711,
golden,58,seeds3,recovered,True,3.990293748,
golden,58,seeds10,recovered,True,6.2891317309999994,
golden,59,seeds3,recovered,True,2.765817091,
golden,59,seeds10,recovered,True,4.993488843,
golden,60,seeds3,recovered,True,1.5968006639999999,
golden,60,seeds10,recovered,True,2.383006088,
golden,61,seeds3,recovered,True,23.467419761000002,
golden,61,seeds10,recovered,True,54.586383724,
golden,62,seeds3,recovered,True,5.319693178,
golden,62,seeds10,recovered,True,12.001825158,
golden,63,seeds3,recovered,True,1.7588887359999998,
golden,63,seeds10,recovered,True,3.112022754,
golden,64,seeds3,recovered,True,2.047686273,
golden,64,seeds10,recovered,True,3.4163690209999995,
golden,65,seeds3,recovered,True,4.300564623,
golden,65,seeds10,recovered,True,9.810409438999999,
golden,66,seeds3,recovered,True,101.35323312299997,
golden,66,seeds10,recovered,True,310.848837687,
golden,67,seeds3,recovered,True,7.2332519600000005,
golden,67,seeds10,recovered,True,13.12970611,
golden,68,seeds3,recovered,True,16.996393982,
golden,68,seeds10,recovered,True,47.034872565,
golden,69,seeds3,recovered,True,12.516819769000001,
golden,69,seeds10,recovered,True,31.866714891999997,
golden,70,seeds3,recovered,True,2.607767945,
