index,recovered,binary,weighted,r_to_p,p_to_r,uncut,cut_only,completed_calls,candidate_outputs,mapping_errors,invalid_predictions,fully_swept_valid
120,True,True,True,True,True,True,True,328,330,0,0,True
121,True,True,True,True,True,True,True,352,358,0,0,True
122,True,True,True,True,True,True,True,168,172,0,0,True
123,True,True,True,True,True,True,True,272,678,0,0,True
124,True,True,True,True,True,True,True,152,243,0,0,True
125,True,True,True,True,True,True,True,256,258,0,0,True
126,True,True,True,True,True,True,True,204,210,0,0,True
127,True,True,True,True,True,True,True,248,250,0,0,True
128,True,True,True,True,True,True,True,412,414,0,0,True
129,True,True,True,True,True,True,True,148,150,0,0,True
130,True,True,True,True,True,True,True,276,311,0,0,True
131,True,True,True,True,True,True,True,332,338,0,0,True
132,True,True,True,True,True,True,True,142,163,0,0,True
133,True,True,True,True,True,True,True,88,218,0,0,True
134,True,True,True,True,True,True,True,210,236,0,0,True
135,True,True,True,True,True,True,True,392,395,0,0,True
136,True,True,True,True,True,True,True,98,118,0,0,True
137,True,True,True,True,True,True,True,228,231,0,0,True
138,True,True,True,True,True,True,True,280,283,0,0,True
139,True,True,True,True,True,True,True,120,289,0,0,True
140,True,True,True,True,True,True,True,102,166,0,0,True
141,True,True,True,True,True,True,True,216,221,0,0,True
142,True,True,True,True,True,True,True,116,119,0,0,True
143,True,True,True,True,True,True,True,416,423,0,0,True
144,True,True,True,True,True,True,True,88,92,0,0,True
145,True,True,True,True,True,True,True,176,179,0,0,True
146,True,True,True,True,True,True,True,204,499,0,0,True
147,True,True,True,True,True,True,True,204,207,0,0,True
148,True,True,True,True,True,True,True,108,240,0,0,True
149,True,True,True,True,True,True,True,348,376,0,0,True
150,True,True,True,True,True,True,True,308,326,0,0,True
151,True,True,True,True,True,True,True,208,616,0,0,True
152,True,True,True,True,True,True,True,320,323,0,0,True
153,True,True,True,True,True,True,True,296,729,0,0,True
154,True,True,True,True,True,True,True,288,303,0,0,True
155,True,True,True,True,True,True,True,184,448,0,0,True
156,True,True,True,True,True,True,True,208,357,0,0,True
157,True,True,True,True,True,True,True,340,351,0,0,True
158,True,True,True,True,True,True,True,200,203,0,0,True
159,True,True,True,True,True,True,True,212,271,0,0,True
160,True,True,True,True,True,True,True,144,156,0,0,True
161,True,True,True,True,True,True,True,132,202,0,0,True
162,True,True,True,True,True,True,True,208,509,0,0,True
163,True,True,True,True,True,True,True,152,166,0,0,True
164,True,True,True,True,True,True,True,424,1046,0,0,True
165,True,True,True,True,True,True,True,120,124,0,0,True
166,True,True,True,True,True,True,True,164,164,0,0,True
167,True,True,True,True,True,True,True,212,445,0,0,True
168,True,True,True,True,True,True,True,132,185,0,0,True
169,True,True,True,True,True,False,True,204,338,0,0,True
170,True,True,True,True,True,True,True,186,194,0,0,True
171,True,True,True,True,True,True,True,168,276,0,0,True
172,True,True,True,True,True,True,True,192,198,0,0,True
173,True,True,True,True,True,True,True,132,152,0,0,True
174,True,True,True,True,True,True,True,196,318,0,0,True
175,True,True,True,True,True,True,True,136,195,0,0,True
176,True,True,True,True,True,True,True,128,225,0,0,True
177,True,True,True,True,True,True,True,144,205,0,0,True
178,True,True,True,True,True,True,True,216,438,0,0,True
179,True,True,True,True,True,True,True,236,238,0,0,True
180,True,True,True,True,True,True,True,140,142,0,0,True
181,False,False,False,False,False,False,False,196,718,0,0,True
182,True,True,True,True,True,False,True,244,308,0,0,True
183,True,True,True,True,True,True,True,152,156,0,0,True
184,False,False,False,False,False,False,False,102,104,0,0,True
185,True,True,True,True,True,True,True,114,114,0,0,True
186,True,True,True,True,True,True,True,172,890,0,0,True
187,True,True,True,True,True,True,True,112,226,0,0,True
188,True,True,True,True,True,True,True,64,72,0,0,True
189,True,True,True,True,True,True,True,116,116,0,0,True
190,True,True,True,True,True,True,True,96,96,0,0,True
191,True,True,True,True,True,True,True,134,134,0,0,True
192,True,True,True,True,True,True,True,128,128,0,0,True
193,True,True,True,True,True,True,True,140,140,0,0,True
194,True,True,True,True,True,True,True,246,443,0,0,True
195,True,True,True,True,True,True,True,300,300,0,0,True
196,True,True,True,True,True,True,True,248,248,0,0,True
197,True,False,True,True,False,False,True,154,323,0,0,True
198,True,True,True,True,True,True,True,288,292,0,0,True
199,True,True,True,True,True,True,True,260,271,0,0,True
200,True,True,True,True,True,True,True,140,172,0,0,True
201,True,True,True,True,True,True,True,204,307,0,0,True
202,True,True,True,True,True,True,True,132,502,0,0,True
203,True,True,True,True,True,True,True,76,76,0,0,True
204,True,True,True,True,True,True,True,228,236,0,0,True
205,True,True,True,True,True,True,True,272,276,0,0,True
206,True,True,True,True,True,True,True,94,94,0,0,True
207,True,True,True,True,True,True,True,260,265,0,0,True
208,True,True,True,True,True,True,True,236,282,0,0,True
209,True,True,True,True,True,True,True,276,281,0,0,True
210,True,True,True,True,True,True,True,94,94,0,0,True
211,True,True,True,True,True,True,True,56,62,0,0,True
212,True,True,True,True,True,True,True,164,195,0,0,True
213,True,True,True,True,True,True,True,168,208,0,0,True
214,True,True,True,True,True,True,True,320,322,0,0,True
215,True,True,True,True,True,True,True,172,188,0,0,True
216,True,True,True,True,True,True,True,292,297,0,0,True
217,True,True,True,True,True,True,True,132,136,0,0,True
218,True,True,True,True,True,True,True,84,97,0,0,True
219,True,True,True,True,True,True,True,248,251,0,0,True
220,True,True,True,True,True,True,True,236,252,0,0,True
221,True,True,True,True,True,True,True,140,146,0,0,True
222,True,True,True,True,True,True,True,126,126,0,0,True
223,True,True,True,True,True,True,True,132,154,0,0,True
224,True,True,True,True,True,True,True,100,115,0,0,True
225,True,True,True,True,True,True,True,72,72,0,0,True
226,True,True,True,True,True,True,True,80,87,0,0,True
227,True,True,True,True,True,True,True,60,68,0,0,True
228,True,True,True,True,True,True,True,158,181,0,0,True
229,True,True,True,True,True,True,True,190,222,0,0,True
230,True,True,True,True,True,True,True,260,265,0,0,True
231,True,True,True,True,True,True,True,210,243,0,0,True
232,True,True,True,True,True,True,True,92,124,0,0,True
233,True,True,True,True,True,True,True,124,210,0,0,True
234,True,True,True,True,True,True,True,78,94,0,0,True
235,True,True,True,True,True,True,True,92,120,0,0,True
236,True,True,True,True,True,True,True,80,210,0,0,True
237,True,True,True,True,True,True,True,222,269,0,0,True
238,True,True,True,True,True,True,True,132,146,0,0,True
239,True,True,True,True,True,True,True,274,313,0,0,True
240,True,True,True,True,True,True,True,100,102,0,0,True
241,True,True,True,True,True,True,True,140,140,0,0,True
242,True,True,True,True,True,True,True,142,149,0,0,True
243,True,True,True,True,True,True,True,120,126,0,0,True
244,True,True,True,True,True,True,True,170,212,0,0,True
245,True,True,True,True,True,True,True,154,167,0,0,True
246,True,True,True,True,True,False,True,240,260,0,0,True
247,True,True,True,True,True,False,True,126,149,0,0,True
248,True,True,True,True,True,True,True,220,234,0,0,True
249,True,True,True,True,True,True,True,184,220,0,0,True
250,True,True,True,True,True,True,True,104,107,0,0,True
251,True,True,True,True,True,True,True,152,156,0,0,True
252,True,True,True,True,True,True,True,74,88,0,0,True
253,True,True,True,True,True,True,True,160,243,0,0,True
254,True,True,True,True,True,True,True,72,169,0,0,True
255,True,True,True,True,True,True,True,88,88,0,0,True
256,True,True,True,True,True,True,True,168,200,0,0,True
257,True,True,True,True,True,True,True,266,317,0,0,True
258,True,True,True,True,True,True,True,148,148,0,0,True
259,True,True,True,True,True,True,True,112,144,0,0,True
260,True,True,True,True,True,True,True,160,170,0,0,True
261,True,True,True,True,True,True,True,182,187,0,0,True
262,True,True,True,True,True,True,True,172,172,0,0,True
263,True,True,True,True,True,True,True,108,163,0,0,True
264,True,True,True,True,True,True,True,168,172,0,0,True
265,True,True,True,True,True,True,True,120,124,0,0,True
266,True,True,True,True,True,True,True,148,148,0,0,True
267,True,True,True,True,True,True,True,50,50,0,0,True
268,False,False,False,False,False,False,False,152,180,0,0,True
269,True,True,True,True,True,True,True,108,210,0,0,True
270,True,True,True,True,True,True,True,180,282,0,0,True
271,True,True,True,True,True,True,True,54,78,0,0,True
272,True,True,True,True,True,True,True,104,110,0,0,True
273,True,True,True,True,True,True,True,136,136,0,0,True
274,True,True,True,True,True,True,True,124,183,0,0,True
275,True,True,True,True,True,True,True,208,213,0,0,True
276,True,True,True,False,True,False,True,136,428,0,0,True
277,True,True,True,True,True,True,True,176,269,0,0,True
278,True,True,True,True,True,True,True,134,154,0,0,True
279,True,True,True,True,True,True,True,204,300,0,0,True
280,True,True,True,True,True,True,True,126,128,0,0,True
281,True,True,True,True,True,True,True,124,184,0,0,True
282,True,True,True,True,True,True,True,144,154,0,0,True
283,True,True,True,True,True,True,True,152,164,0,0,True
284,True,True,True,True,True,True,True,248,263,0,0,True
285,True,True,True,True,True,True,True,166,483,0,0,True
286,True,True,True,True,True,True,True,204,208,0,0,True
287,True,True,True,True,True,True,True,164,208,0,0,True
288,True,True,True,True,True,True,True,144,148,0,0,True
289,True,True,True,True,True,True,True,352,396,0,0,True
290,True,True,True,True,True,True,True,260,260,0,0,True
291,True,True,True,True,True,True,True,72,96,0,0,True
292,True,True,True,True,True,True,True,110,110,0,0,True
293,True,True,True,True,True,True,True,92,211,0,0,True
294,True,True,True,True,True,True,True,98,102,0,0,True
295,True,True,True,True,True,True,True,190,553,0,0,True
296,True,True,True,True,True,True,True,166,481,0,0,True
297,True,True,True,True,True,True,True,170,504,0,0,True
298,True,True,True,True,True,True,True,140,156,0,0,True
299,True,True,True,True,True,True,True,96,162,0,0,True
300,True,True,True,True,True,True,True,144,289,0,0,True
301,True,True,True,True,True,True,True,300,304,0,0,True
302,True,True,True,True,True,True,True,196,196,0,0,True
303,True,True,True,True,True,True,True,46,99,0,0,True
304,True,True,True,True,True,True,True,144,162,0,0,True
305,True,True,True,True,True,True,True,118,122,0,0,True
306,True,True,True,True,True,True,True,138,144,0,0,True
307,True,True,True,True,True,True,True,348,348,0,0,True
308,True,True,True,True,True,True,True,280,286,0,0,True
309,True,True,True,True,True,True,True,190,190,0,0,True
310,True,True,True,True,True,True,True,98,98,0,0,True
311,True,True,True,True,True,True,True,110,163,0,0,True
312,True,True,True,True,True,True,True,172,180,0,0,True
313,True,True,True,True,True,True,True,140,169,0,0,True
314,True,True,True,True,True,True,True,112,127,0,0,True
315,True,True,True,True,True,True,True,196,212,0,0,True
316,True,True,True,True,True,True,True,118,139,0,0,True
317,True,True,True,True,True,True,True,160,163,0,0,True
318,True,True,True,True,True,True,True,228,231,0,0,True
319,True,True,True,True,True,True,True,128,222,0,0,True
320,True,True,True,True,True,True,True,152,164,0,0,True
321,True,True,True,True,True,True,True,80,104,0,0,True
322,True,True,True,True,True,True,True,132,136,0,0,True
323,True,True,True,True,True,True,True,80,80,0,0,True
324,True,True,True,True,True,True,True,104,104,0,0,True
325,True,True,True,True,True,True,True,188,200,0,0,True
326,True,True,True,True,True,True,True,144,144,0,0,True
327,True,True,True,True,True,True,True,212,299,0,0,True
328,True,True,True,True,True,True,True,128,129,0,0,True
329,True,True,True,True,True,True,True,144,156,0,0,True
330,True,True,True,True,True,True,True,96,180,0,0,True
331,True,True,True,True,True,True,True,174,174,0,0,True
332,True,True,True,True,True,True,True,68,68,0,0,True
333,True,True,True,True,True,True,True,74,74,0,0,True
334,True,True,True,True,True,True,True,120,127,0,0,True
335,True,True,True,True,True,True,True,120,198,0,0,True
336,True,True,True,True,True,True,True,64,86,0,0,True
337,True,True,True,True,True,True,True,158,178,0,0,True
338,True,True,True,True,True,True,True,100,100,0,0,True
339,True,True,True,True,True,True,True,96,98,0,0,True
340,True,True,True,True,True,True,True,122,213,0,0,True
341,True,True,True,True,True,True,True,84,90,0,0,True
342,True,True,True,True,True,True,True,148,152,0,0,True
343,True,True,True,True,True,True,True,152,502,0,0,True
344,True,True,True,True,True,True,True,246,276,0,0,True
345,True,True,True,True,True,True,True,172,172,0,0,True
346,True,True,True,True,True,True,True,132,249,0,0,True
347,True,True,True,True,True,True,True,148,160,0,0,True
348,True,True,True,True,True,True,True,68,68,0,0,True
349,True,True,True,True,True,True,True,170,222,0,0,True
350,True,True,True,True,True,True,True,88,88,0,0,True
351,True,True,True,True,True,True,True,78,172,0,0,True
352,True,True,True,True,True,True,True,152,180,0,0,True
353,True,True,True,True,True,True,True,132,142,0,0,True
354,True,True,True,True,True,True,True,140,274,0,0,True
355,True,True,True,True,True,True,True,164,164,0,0,True
356,True,True,True,True,True,True,True,124,233,0,0,True
357,True,True,True,False,True,False,True,250,494,0,0,True
358,True,True,True,True,True,True,True,236,252,0,0,True
359,True,True,True,True,True,True,True,96,117,0,0,True
360,True,True,True,True,True,True,True,108,148,0,0,True
361,True,True,True,True,True,True,True,162,166,0,0,True
362,True,True,True,True,True,True,True,116,279,0,0,True
363,True,True,True,True,True,True,True,140,210,0,0,True
364,True,True,True,True,True,True,True,160,164,0,0,True
365,True,True,True,True,True,True,True,128,173,0,0,True
366,True,True,True,True,True,True,True,100,100,0,0,True
367,True,True,True,True,True,True,True,116,120,0,0,True
