index,default_direction,single_recovery,single_ranking_complete,single_search_complete,single_top5_family,single_compute_cpu_seconds,single_directional_elapsed_sum_seconds,single_class_count,single_top1,single_top3,single_top5,single_top10,single_event_window_0_recovered,single_event_window_0_candidates,single_event_window_1_recovered,single_event_window_1_candidates,single_event_window_2_recovered,single_event_window_2_candidates,single_event_window_3_recovered,single_event_window_3_candidates,single_event_window_5_recovered,single_event_window_5_candidates,bidirectional_recovery,bidirectional_ranking_complete,bidirectional_search_complete,bidirectional_top5_family,bidirectional_compute_cpu_seconds,bidirectional_directional_elapsed_sum_seconds,bidirectional_class_count,bidirectional_top1,bidirectional_top3,bidirectional_top5,bidirectional_top10,bidirectional_event_window_0_recovered,bidirectional_event_window_0_candidates,bidirectional_event_window_1_recovered,bidirectional_event_window_1_candidates,bidirectional_event_window_2_recovered,bidirectional_event_window_2_candidates,bidirectional_event_window_3_recovered,bidirectional_event_window_3_candidates,bidirectional_event_window_5_recovered,bidirectional_event_window_5_candidates
1434,P_to_R,recovered,True,True,recovered,14.676754954,3.95265637524426,32,True,True,True,True,True,1,True,1,True,4,True,4,True,6,recovered,True,True,recovered,46.323677726,12.416298971511424,166,True,True,True,True,True,1,True,1,True,4,True,4,True,7
1435,P_to_R,recovered,True,True,recovered,29.424331954000003,9.476806879974902,315,True,True,True,True,True,1,True,1,True,3,True,4,True,10,recovered,True,True,recovered,49.555654365,13.496136732399464,500,True,True,True,True,True,1,True,1,True,3,True,7,True,19
1436,P_to_R,recovered,True,True,recovered,80.15640540099997,28.940647214651108,178,True,True,True,True,True,1,True,1,True,3,True,4,True,6,recovered,True,True,recovered,103.84186796999997,34.836174262687564,745,True,True,True,True,True,1,True,1,True,3,True,5,True,8
1437,P_to_R,recovered,True,True,recovered,26.817289417,7.12974290503189,146,True,True,True,True,True,1,True,1,True,2,True,2,True,5,recovered,True,True,recovered,34.519221017999996,9.817116174381226,183,True,True,True,True,True,1,True,1,True,2,True,2,True,5
1438,P_to_R,recovered,True,True,recovered,35.626215512,12.278334357077256,175,True,True,True,True,True,1,True,1,True,2,True,2,True,5,recovered,True,True,recovered,49.45130173,15.329052473185584,924,True,True,True,True,True,1,True,1,True,2,True,2,True,7
1439,P_to_R,recovered,True,True,recovered,88.693963487,26.031518005998805,230,True,True,True,True,True,1,True,1,True,2,True,2,True,3,recovered,True,True,recovered,95.418120396,27.440239161718637,231,True,True,True,True,True,1,True,1,True,3,True,3,True,4
1440,P_to_R,recovered,True,True,recovered,18.590975272999998,5.745102160610259,180,True,True,True,True,True,1,True,1,True,2,True,2,True,2,recovered,True,True,recovered,79.80344002000001,16.276361305033788,1891,True,True,True,True,True,1,True,1,True,2,True,2,True,3
1441,P_to_R,recovered,True,True,recovered,74.603769287,29.95911147026345,276,True,True,True,True,True,1,True,1,True,4,True,6,True,11,recovered,True,True,recovered,218.34188450499997,58.64756175340153,2204,True,True,True,True,True,1,True,1,True,4,True,7,True,14
1442,P_to_R,recovered,True,True,recovered,51.25259765200001,19.28659193776548,90,True,True,True,True,True,1,True,1,True,4,True,4,True,7,recovered,True,True,recovered,77.52002013100001,27.45573038747534,259,True,True,True,True,True,1,True,1,True,4,True,4,True,7
1443,P_to_R,recovered,True,True,recovered,62.888022766999995,21.23327818303369,371,True,True,True,True,True,1,True,1,True,3,True,10,True,14,recovered,True,True,recovered,157.769400422,39.39755732472986,1175,True,True,True,True,True,1,True,1,True,3,True,10,True,15
1444,P_to_R,recovered,True,True,recovered,18.233313736,3.499594101216644,20,True,True,True,True,True,2,True,2,True,4,True,4,True,10,recovered,True,True,recovered,271.68651059599995,54.760185349034145,1185,True,True,True,True,True,2,True,2,True,4,True,4,True,12
1445,P_to_R,recovered,True,True,recovered,22.019762875,3.4660404436290264,9,True,True,True,True,True,1,True,1,True,2,True,4,True,8,recovered,True,True,recovered,321.00416383199996,62.390173592139035,892,True,True,True,True,True,1,True,1,True,2,True,4,True,8
1446,P_to_R,recovered,True,True,recovered,59.222874745999995,19.295134285232052,67,True,True,True,True,True,1,True,1,True,2,True,2,True,8,recovered,True,True,recovered,105.48273976600001,29.055134096182883,202,True,True,True,True,True,1,True,1,True,2,True,2,True,11
1447,P_to_R,recovered,True,True,recovered,79.55333642900001,22.994724976830184,219,True,True,True,True,True,1,True,1,True,5,True,5,True,5,recovered,True,True,recovered,91.15940178400001,25.11886502848938,245,True,True,True,True,True,1,True,1,True,5,True,5,True,5
1448,P_to_R,recovered,True,True,recovered,22.794491513999997,7.940100511536002,57,True,True,True,True,True,1,True,1,True,2,True,6,True,7,recovered,True,True,recovered,55.049111268999994,16.589833835605532,794,True,True,True,True,True,1,True,1,True,2,True,8,True,11
1449,P_to_R,recovered,True,True,recovered,8.567719445999998,2.1956617443356663,56,True,True,True,True,True,1,True,1,True,2,True,3,True,7,recovered,True,True,recovered,14.911698043,3.555418164934963,125,True,True,True,True,True,1,True,1,True,2,True,4,True,12
1450,P_to_R,recovered,True,True,recovered,5.090086672,1.215875580906868,38,True,True,True,True,True,1,True,1,True,2,True,2,True,4,recovered,True,True,recovered,20.386668396,4.919322531437501,116,True,True,True,True,True,1,True,1,True,2,True,2,True,5
1451,P_to_R,recovered,True,True,recovered,297.3269489919999,108.38558120280504,218,True,True,True,True,True,2,True,2,True,4,True,4,True,8,recovered,True,True,recovered,322.332627937,114.29804657399654,379,True,True,True,True,True,2,True,2,True,4,True,4,True,8
1452,P_to_R,recovered,True,True,recovered,44.481964729999994,16.44247502507642,53,True,True,True,True,True,1,True,1,True,3,True,3,True,6,recovered,True,True,recovered,66.756275246,21.71903911512345,202,True,True,True,True,True,1,True,1,True,3,True,3,True,9
1453,P_to_R,recovered,True,True,recovered,405.288936178,82.16180165205151,144,True,True,True,True,True,1,True,1,True,4,True,14,True,22,recovered,True,True,recovered,1384.597768538,261.95598742133006,997,True,True,True,True,True,1,True,1,True,4,True,14,True,23
1454,P_to_R,recovered,True,True,recovered,41.198827058,11.883600370027125,106,True,True,True,True,True,1,True,1,True,3,True,16,True,28,recovered,True,True,recovered,1209.719334336,240.6855076458305,8169,True,True,True,True,True,1,True,1,True,3,True,16,True,28
1455,P_to_R,recovered,True,True,recovered,35.29805351200001,9.66824762756005,74,True,True,True,True,True,1,True,1,True,3,True,3,True,6,recovered,True,True,recovered,103.329189724,24.00186969083734,195,True,True,True,True,True,1,True,1,True,3,True,3,True,9
1456,P_to_R,recovered,True,True,recovered,47.102915057000004,15.187222877517343,59,True,True,True,True,True,1,True,1,True,2,True,4,True,13,recovered,True,True,recovered,225.335996315,52.63519420661032,449,True,True,True,True,True,1,True,1,True,2,True,4,True,13
1457,P_to_R,recovered,True,True,recovered,1.940435168,0.366268340498209,2,True,True,True,True,True,1,True,1,True,2,True,2,True,2,recovered,True,True,recovered,4.024735646,0.8869340801611543,3,True,True,True,True,True,1,True,1,True,2,True,2,True,2
1458,P_to_R,recovered,True,True,recovered,5.894123549999998,1.6104550641030073,40,True,True,True,True,True,1,True,1,True,3,True,3,True,4,recovered,True,True,recovered,7.868218031999998,1.9553729470353574,45,True,True,True,True,True,1,True,1,True,3,True,3,True,5
1459,P_to_R,recovered,True,True,recovered,66.967395415,21.109469718299806,475,True,True,True,True,True,1,True,1,True,3,True,4,True,7,recovered,True,True,recovered,98.442523766,27.589693971909583,1006,True,True,True,True,True,1,True,1,True,4,True,6,True,14
1460,P_to_R,recovered,True,True,recovered,30.835014107999996,5.657152361236513,96,True,True,True,True,True,1,True,1,True,3,True,3,True,5,recovered,True,True,recovered,53.508918918999996,8.355613675899804,97,True,True,True,True,True,1,True,1,True,3,True,3,True,5
1461,P_to_R,recovered,True,True,recovered,25.890712974,6.459054978564382,151,True,True,True,True,True,1,True,1,True,2,True,2,True,3,recovered,True,True,recovered,100.17240341799999,19.46221084240824,1219,True,True,True,True,True,1,True,1,True,2,True,2,True,4
1462,P_to_R,recovered,True,True,recovered,242.849703401,88.88181866472587,311,True,True,True,True,True,1,True,1,True,1,True,1,True,1,recovered,True,True,recovered,310.002673254,104.82378872251138,418,True,True,True,True,True,1,True,1,True,2,True,3,True,8
1463,P_to_R,recovered,True,True,recovered,118.97973138399999,38.56408103904687,268,True,True,True,True,True,1,True,1,True,1,True,1,True,3,recovered,True,True,recovered,231.288019384,66.03568912413903,879,True,True,True,True,True,1,True,1,True,5,True,5,True,14
