index,direction,host,cpu_models,search_process_exit,search_complete,capped,terminals,cut_count,compute_cpu_seconds,elapsed_wall_including_io,persistence_cpu_seconds,persistence_summed_wall_seconds,loading_cpu_seconds,ranking_cpu_seconds,ranking_wall_seconds,ranking_saving_wall_seconds,verification_cpu_seconds,verification_wall_seconds,reference_recovery
0,R_to_P,bosque79,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,64648,69,573.1495512850001,123.24609546922147,104.38850143699999,105.61058583855629,17.416929277999998,35.016240672,35.017025779001415,0.2824050197377801,68.20168181599999,68.20485620107502,recovered
0,P_to_R,bosque20,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,58552,69,426.96631879800003,93.3977263038978,79.07761373400001,80.9621004788205,13.200923467999996,30.019645989000004,30.020743074826896,0.22865795530378819,60.151822541,60.15494133066386,recovered
1,R_to_P,bosque79,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,8299,35,26.998630755,6.289382299408317,3.5623174239999993,3.70646595582366,0.7952468209999999,1.502853295,1.5029820827767253,0.034868957474827766,3.866461082,3.8667719764634967,recovered
1,P_to_R,bosque26,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,3895,35,15.484507476000003,3.0312077081762254,1.8534233039999997,1.9999938295222819,0.44448622000000004,0.7863610649999997,0.7864639731124043,0.03818386234343052,1.8922010999999999,1.8923614686354995,recovered
2,R_to_P,bosque26,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,18786,68,168.19503968100003,24.949846174102277,11.350224326,13.320733745582402,2.222776992999999,7.886098713000001,7.886475560255349,0.6518544862046838,14.262793685999998,14.26322058122605,recovered
2,P_to_R,bosque79,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,2577,39,11.448834038,2.484082409180701,0.48471549599999986,0.5801576720550656,0.13588646600000004,0.5170190849999998,0.5170516353100538,0.028119239956140518,1.4953122349999999,1.495411560870707,recovered
3,R_to_P,bosque26,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,False,752,41,5.118714584999999,0.8213350223377347,0.38098810599999966,0.5531422747299075,0.11215630900000001,0.14849578799999996,0.14870034717023373,0.006836628541350365,0.43731383299999993,0.4373830733820796,recovered
3,P_to_R,bosque56,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,5792,42,27.330783945000004,5.407390623819083,3.2306502269999995,3.416990914614871,0.7550428280000001,1.849140627,1.8492987537756562,0.0788733372464776,3.5281414799999995,3.528691725805402,recovered
4,R_to_P,bosque56,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,11709,33,34.762096758,6.762529619038105,3.90624252,4.086729996372014,0.8576517220000001,1.8648572970000001,1.86519190762192,0.04521961510181427,4.8477235919999995,4.848500287160277,recovered
4,P_to_R,bosque56,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,6225,32,11.225263772,2.2785805829335004,1.4548843009999999,1.5982346709351987,0.34424592699999995,0.9093727380000001,0.9094507033005357,0.026249879971146584,2.452744761,2.452836868353188,recovered
