JobID|State|ExitCode|ElapsedRaw|TotalCPU|CPUTimeRAW|AllocCPUS|MaxRSS|NodeList
452980_202.batch|COMPLETED|0:0|4|00:04.265|64|16|3508K|bosque20
452980_202.extern|COMPLETED|0:0|4|00:00.003|64|16|4K|bosque20
452980_203|COMPLETED|0:0|5|00:07.578|80|16||bosque67
452980_203.batch|COMPLETED|0:0|5|00:07.575|80|16|3440K|bosque67
452980_203.extern|COMPLETED|0:0|5|00:00.003|80|16|4K|bosque67
452980_204|COMPLETED|0:0|4|00:05.090|64|16||bosque70
452980_204.batch|COMPLETED|0:0|4|00:05.087|64|16|3520K|bosque70
452980_204.extern|COMPLETED|0:0|4|00:00.003|64|16|4K|bosque70
452980_205|COMPLETED|0:0|9|00:20.678|144|16||bosque46
452980_205.batch|COMPLETED|0:0|9|00:20.674|144|16|3532K|bosque46
452980_205.extern|COMPLETED|0:0|9|00:00.003|144|16|4K|bosque46
452980_206|COMPLETED|0:0|5|00:05.069|80|16||bosque46
452980_206.batch|COMPLETED|0:0|5|00:05.065|80|16|3388K|bosque46
452980_206.extern|COMPLETED|0:0|5|00:00.003|80|16|4K|bosque46
452980_207|COMPLETED|0:0|8|00:18.765|128|16||bosque56
452980_207.batch|COMPLETED|0:0|8|00:18.764|128|16|3332K|bosque56
452980_207.extern|COMPLETED|0:0|8|00:00.001|128|16|304K|bosque56
452980_208|COMPLETED|0:0|8|00:24.447|128|16||bosque56
452980_208.batch|COMPLETED|0:0|8|00:24.444|128|16|3324K|bosque56
452980_208.extern|COMPLETED|0:0|8|00:00.003|128|16|4K|bosque56
452980_209|COMPLETED|0:0|5|00:07.109|80|16||bosque26
452980_209.batch|COMPLETED|0:0|5|00:07.105|80|16|3312K|bosque26
452980_209.extern|COMPLETED|0:0|5|00:00.003|80|16|4K|bosque26
452980_210|COMPLETED|0:0|6|00:11.225|96|16||bosque26
452980_210.batch|COMPLETED|0:0|6|00:11.221|96|16|3468K|bosque26
452980_210.extern|COMPLETED|0:0|6|00:00.003|96|16|308K|bosque26
452980_211|COMPLETED|0:0|12|00:42.355|192|16||bosque26
452980_211.batch|COMPLETED|0:0|12|00:42.351|192|16|3392K|bosque26
452980_211.extern|COMPLETED|0:0|12|00:00.003|192|16|4K|bosque26
452980_212|COMPLETED|0:0|6|00:12.043|96|16||bosque44
452980_212.batch|COMPLETED|0:0|6|00:12.039|96|16|3288K|bosque44
452980_212.extern|COMPLETED|0:0|6|00:00.003|96|16|3348K|bosque44
452980_213|COMPLETED|0:0|17|00:58.641|272|16||bosque44
452980_213.batch|COMPLETED|0:0|17|00:58.638|272|16|3508K|bosque44
452980_213.extern|COMPLETED|0:0|17|00:00.003|272|16|4K|bosque44
452980_214|COMPLETED|0:0|8|00:19.010|128|16||bosque44
452980_214.batch|COMPLETED|0:0|8|00:19.006|128|16|3536K|bosque44
452980_214.extern|COMPLETED|0:0|8|00:00.003|128|16|4K|bosque44
452980_215|COMPLETED|0:0|4|00:04.576|64|16||bosque44
452980_215.batch|COMPLETED|0:0|4|00:04.572|64|16|3244K|bosque44
452980_215.extern|COMPLETED|0:0|4|00:00.003|64|16|4K|bosque44
452980_216|COMPLETED|0:0|9|00:19.328|144|16||bosque72
452980_216.batch|COMPLETED|0:0|9|00:19.324|144|16|3388K|bosque72
452980_216.extern|COMPLETED|0:0|9|00:00.003|144|16|304K|bosque72
452980_217|COMPLETED|0:0|4|00:04.479|64|16||bosque72
452980_217.batch|COMPLETED|0:0|4|00:04.475|64|16|3512K|bosque72
452980_217.extern|COMPLETED|0:0|4|00:00.003|64|16|4K|bosque72
452980_218|COMPLETED|0:0|6|00:09.865|96|16||bosque72
452980_218.batch|COMPLETED|0:0|6|00:09.862|96|16|3432K|bosque72
452980_218.extern|COMPLETED|0:0|6|00:00.003|96|16|4K|bosque72
452980_219|COMPLETED|0:0|17|00:58.455|272|16||bosque72
452980_219.batch|COMPLETED|0:0|17|00:58.451|272|16|3396K|bosque72
452980_219.extern|COMPLETED|0:0|17|00:00.003|272|16|4K|bosque72
452980_220|COMPLETED|0:0|5|00:03.776|80|16||bosque72
452980_220.batch|COMPLETED|0:0|5|00:03.773|80|16|3396K|bosque72
452980_220.extern|COMPLETED|0:0|5|00:00.003|80|16|3324K|bosque72
452980_221|COMPLETED|0:0|7|00:17.458|112|16||bosque83
452980_221.batch|COMPLETED|0:0|7|00:17.455|112|16|3388K|bosque83
452980_221.extern|COMPLETED|0:0|7|00:00.003|112|16|4K|bosque83
452980_222|COMPLETED|0:0|6|00:10.903|96|16||bosque83
452980_222.batch|COMPLETED|0:0|6|00:10.900|96|16|3488K|bosque83
452980_222.extern|COMPLETED|0:0|6|00:00.003|96|16|304K|bosque83
452980_223|COMPLETED|0:0|5|00:04.891|80|16||bosque83
