index,variant,verified_positive,scope,generator_only_outcome,source_eligible,search_exit,capped,search_seconds,warning,directory
846,opposite,True,full checkpoint,recovered,5767,0,True,57.83160284347832,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/846_opposite
846,cap2000,False,full checkpoint,unknown,,timeout,,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/846_cap2000
850,archive,False,full checkpoint,not_recovered,14177,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/850_archive
850,opposite,False,full checkpoint,not_recovered,0,0,True,143.09610493085347,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/850_opposite
850,cap2000,False,full checkpoint,unknown,,timeout,,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/850_cap2000
867,archive,False,full checkpoint,not_recovered,3855,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/867_archive
867,opposite,True,full checkpoint,recovered,8467,0,True,35.83114153239876,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/867_opposite
867,cap2000,False,full checkpoint,not_recovered,37347,0,True,139.27278241794556,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/867_cap2000
871,archive,False,full checkpoint,not_recovered,11916,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/871_archive
871,opposite,False,full checkpoint,not_recovered,12450,0,True,69.65177989006042,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/871_opposite
871,cap2000,False,full checkpoint,unknown,,timeout,,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/871_cap2000
964,archive,False,full checkpoint,not_recovered,8098,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/964_archive
964,opposite,True,full checkpoint,recovered,6097,0,True,18.780146661913022,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/964_opposite
964,cap2000,False,full checkpoint,not_recovered,63714,0,True,144.56707838200964,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/964_cap2000
986,archive,False,full checkpoint,not_recovered,620,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/986_archive
986,opposite,False,full checkpoint,not_recovered,117,0,False,3.0713589871302247,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/986_opposite
986,cap2000,False,full checkpoint,not_recovered,10120,0,True,28.487664026906714,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/986_cap2000
1228,archive,False,full checkpoint,not_recovered,5500,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1228_archive
1228,opposite,False,full checkpoint,not_recovered,112,0,True,10.372108659008518,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1228_opposite
1228,cap2000,False,full checkpoint,not_recovered,82825,0,True,241.68395205121487,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1228_cap2000
1230,archive,False,full checkpoint,not_recovered,5623,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1230_archive
1230,opposite,True,full checkpoint,recovered,154,0,True,11.947838565334678,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1230_opposite
