index,original,filtered,filtered_seconds,filtered_evidence,finite,finite_seconds,finite_evidence,long_query,long_query_seconds,long_query_evidence,orbit_query,orbit_query_seconds,orbit_query_evidence,resolved_status
1033,unknown,unknown,120.59001980698667,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/unknown_1033/verification.json,unknown,120.52990431990474,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/finite_1033/verification.json,unknown,120.23075886815786,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/longquery_1033/verification.json,unknown,120.712007869035,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/orbitquery_1033/verification.json,unknown
124,unknown,recovered,56.4276727437973,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/unknown_124/verification.json,unknown,120.08782221190631,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/finite_124/verification.json,,,,recovered,5.746762673836201,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/orbitquery_124/verification.json,recovered
1351,unknown,unknown,120.31180793698877,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/unknown_1351/verification.json,unknown,120.4973645771388,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/finite_1351/verification.json,unknown,120.60653628921136,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/longquery_1351/verification.json,unknown,120.60554337501526,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/orbitquery_1351/verification.json,unknown
1392,unknown,not_recovered,0.12361818714998662,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/unknown_1392/verification.json,not_recovered,0.11122881295159459,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/finite_1392/verification.json,,,,not_recovered,0.11022506514564157,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/orbitquery_1392/verification.json,not_recovered
1438,unknown,recovered,10.052385423332453,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/unknown_1438/verification.json,unknown,10.099597192369401,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/finite_1438/verification.json,,,,recovered,10.085956302471459,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/orbitquery_1438/verification.json,recovered
1456,unknown,unknown,61.36304421257228,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/unknown_1456/verification.json,unknown,61.2991452566348,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/finite_1456/verification.json,recovered,84.44978789193556,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/longquery_1456/verification.json,recovered,82.16926052095369,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/orbitquery_1456/verification.json,recovered
1459,unknown,recovered,10.158758652862161,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/unknown_1459/verification.json,unknown,91.08777103293687,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/finite_1459/verification.json,,,,recovered,10.167852364946157,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/orbitquery_1459/verification.json,recovered
1489,unknown,unknown,120.14978115586564,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/unknown_1489/verification.json,unknown,120.15259998105466,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/finite_1489/verification.json,recovered,55.51631682389416,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/longquery_1489/verification.json,recovered,37.81065894616768,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/orbitquery_1489/verification.json,recovered
1520,unknown,unknown,120.22372815106064,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/unknown_1520/verification.json,unknown,120.21589565998875,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/finite_1520/verification.json,recovered,53.50781590398401,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/longquery_1520/verification.json,recovered,83.12659569410607,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/orbitquery_1520/verification.json,recovered
1522,unknown,unknown,120.18855523900129,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/unknown_1522/verification.json,unknown,120.20745859108865,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/finite_1522/verification.json,recovered,97.34799761371687,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/longquery_1522/verification.json,recovered,98.99482448399067,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/orbitquery_1522/verification.json,recovered
1524,unknown,not_recovered,0.0038051651790738106,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/unknown_1524/verification.json,not_recovered,0.003699135035276413,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/finite_1524/verification.json,,,,not_recovered,0.0036751239094883204,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_mapping_diagnosis_20260907/orbitquery_1524/verification.json,not_recovered
