index,original_reference_verified,terminals,contexts,states,transitions,unique_projected_actions,non_endpoint_automorphisms,unfinalized_terminal_edges,reference_source_orbit_selection_matches,reference_atom_orbit_pairing_matches,unique_orbit_pairings,closest_orbit_distance,closest_terminal,load_seconds,total_seconds,slurm_job,hostname
1764,True,32147,378,689774,689396,2,0,0,0,0,207,8,37366,115.43515496328473,120.83775221509859,438006,bosque36
1776,True,5906,318,119107,118789,9,0,0,0,0,112,4,3,20.01031214906834,20.952803494874388,438007,bosque37
1777,True,5277,294,62083,61789,5,0,0,0,0,70,12,7,7.2100085720885545,7.7239375540521,438008,bosque38
1780,True,7813,261,45707,45446,5,0,0,0,0,392,6,506,6.340087541844696,7.185359240975231,438009,bosque39
1781,True,4981,186,18907,18721,3,0,0,0,0,118,2,4850,1.9168643590528518,2.272983269067481,438010,bosque40
1788,True,820,90,3156,3066,1,0,0,0,0,32,2,4,0.17317129392176867,0.1961852451786399,438003,bosque12
1791,True,9039,255,254763,254508,3,0,0,0,0,147,4,38318,33.485265352763236,34.83727830881253,438004,bosque34
1793,True,23902,435,289373,288938,3,0,0,0,0,737,4,198720,49.68996092770249,53.808424811810255,438005,bosque35
1795,True,19616,240,216128,215888,4,0,0,0,0,122,2,181533,26.881902980152518,29.13654667697847,438006,bosque36
1796,True,9727,225,67079,66854,2,0,0,0,0,570,2,326,11.152022661175579,12.802833519177511,438007,bosque37
1797,True,20088,240,135814,135574,5,0,0,0,0,87,2,109163,17.33765754289925,19.378265055827796,438008,bosque38
1798,True,14151,339,376194,375855,4,0,0,0,0,112,2,5294,53.96034008800052,56.23940215585753,438009,bosque39
1803,True,562,147,2418,2271,2,0,0,0,0,27,2,8,0.340440517058596,0.40788153605535626,438010,bosque40
1806,True,6942,306,27382,27076,1,0,0,0,0,128,6,14083,1.5822079479694366,1.8127632336691022,438003,bosque12
1807,True,1216,213,5636,5423,5,0,0,0,0,119,4,3,0.9243492297828197,1.0714044868946075,438004,bosque34
1809,True,3745,285,15219,14934,5,0,0,0,0,60,2,10050,2.1716613727621734,2.5657410509884357,438005,bosque35
1810,True,1551,192,12534,12342,4,0,0,0,0,330,2,1589,1.5260581481270492,1.728300531860441,438006,bosque36
1811,True,6777,201,28949,28748,1,0,0,0,0,620,2,6998,3.068602110957727,3.6625652969814837,438007,bosque37
1816,True,3419,282,14571,14289,12,0,0,0,0,145,6,3076,2.7687822820153087,3.2974181298632175,438008,bosque38
1821,True,982,216,4190,3974,1,0,0,0,0,87,4,30,0.5673377579078078,0.728514548856765,438009,bosque39
1822,True,2002,153,7970,7817,2,0,0,0,0,41,2,16,1.1044181028846651,1.334433521842584,438010,bosque40
1848,True,4375,303,46032,45729,10,0,0,0,0,142,2,8,4.4292634185403585,4.760781388729811,438003,bosque12
19,True,14243,150,220542,220392,1,0,0,14243,0,63,4,22574,28.315365715883672,29.976322865113616,438005,bosque35
202,True,8502,99,83579,83480,3,0,0,8502,0,43,4,1571,4.3104100013151765,4.5888426303863525,438003,bosque12
21,True,642,87,2903,2816,1,0,0,16,0,48,2,689,0.16202395036816597,0.17988168634474277,,bosque1
268,True,5305,117,63400,63283,7,0,0,5305,0,65,4,32095,7.365249067079276,7.942485393024981,438004,bosque34
411,True,5602,192,409847,409655,2,0,0,0,0,20,2,113454,58.24774149572477,59.33080119686201,438005,bosque35
45,True,1958,111,11760,11649,0,0,0,0,0,323,4,818,1.0034892021212727,1.141305689001456,438007,bosque37
542,True,9228,99,82978,82879,2,0,0,9228,1,69,0,36968,8.218502905685455,8.997221510857344,438006,bosque36
576,True,3541,117,18120,18003,2,0,0,3541,0,28,4,2,2.092853490030393,2.507838413119316,438007,bosque37
590,True,16062,174,371820,371646,3,0,0,16062,0,140,12,170121,50.5513913098257,52.84153279988095,438008,bosque38
602,True,2941,78,8040,7962,3,0,0,2941,0,45,6,3912,0.9416275671683252,1.2014574720524251,438009,bosque39
603,True,4016,198,39346,39148,6,0,0,4016,0,56,4,14682,6.772543922998011,7.419792645145208,438010,bosque40
744,True,8372,141,84257,84116,1,0,0,8372,0,17,10,40519,5.201551692560315,5.565696663223207,438003,bosque12
749,True,791,123,3048,2925,4,0,0,791,0,27,24,1487,0.4158245171420276,0.4860214479267597,438004,bosque34
833,True,5750,258,329891,329633,4,0,0,5750,0,52,4,7222,59.499063661322,60.719400469213724,438005,bosque35
845,True,3819,120,33109,32989,1,0,0,3819,0,83,4,31,3.6903060832992196,4.07265673391521,438006,bosque36
867,True,4468,123,56837,56714,3,0,0,4468,0,11,4,12,6.836895014857873,7.276369877858087,438007,bosque37
871,True,11223,141,140032,139891,2,0,0,11223,0,101,8,16642,17.791538872988895,19.03904771897942,438008,bosque38
929,True,18375,222,261298,261076,6,0,0,18375,0,157,8,130990,42.243216992821544,44.97832184401341,438009,bosque39
964,True,6883,114,47152,47038,2,0,0,6883,0,109,4,17062,5.233299409970641,5.822908048052341,438010,bosque40
986,True,2582,84,45494,45410,2,0,0,2582,0,18,4,4,2.068628417328,2.1650212993845344,438003,bosque12
