JobID|State|ElapsedRaw|AllocCPUS|TotalCPU|MaxRSS|Start|End
442582|COMPLETED|540|80|03:57:53||2026-09-07T21:12:18|2026-09-07T21:21:18
442582.batch|COMPLETED|540|80|03:57:53|107428452K|2026-09-07T21:12:18|2026-09-07T21:21:18
442582.extern|COMPLETED|540|80|00:00.003|1016K|2026-09-07T21:12:18|2026-09-07T21:21:18
