method,golden_cases,golden_recovery_percent,common_complete_cases,common_mean_cpu_seconds
seeds1,1851,99.02755267423015,1807,11.719957769197565
seeds2,1851,99.0815775256618,1807,20.850183631196455
seeds3,1851,99.18962722852513,1807,29.76808261228777
seeds10,1851,99.18962722852513,1807,87.86641797617321
slap_sweep,1851,96.97460831982713,1807,17.615720220908134
