index,variant,recovery,searches_complete,mapping_cpu,capped
38,tol_1p0,recovered,True,1.362161061,False
38,tol_1p5,recovered,True,1.474289383,False
38,archived_1p0,recovered,True,1.582125928,False
39,tol_1p0,recovered,True,21.616493359,True
39,tol_1p5,recovered,True,21.962033719000004,True
39,archived_1p0,recovered,True,22.567183286,True
40,tol_1p0,recovered,True,12.973503874999997,True
40,tol_1p5,recovered,True,12.954507272,True
40,archived_1p0,recovered,True,12.996585336000003,True
41,tol_1p0,recovered,True,8.797980683,True
41,tol_1p5,recovered,True,8.521211932,True
41,archived_1p0,recovered,True,8.254495616,True
42,tol_1p0,recovered,True,4.283246509999999,True
42,tol_1p5,recovered,True,4.279392626,True
42,archived_1p0,recovered,True,4.557502375,True
43,tol_1p0,recovered,True,1.421023629,False
43,tol_1p5,recovered,True,1.4041915820000002,False
43,archived_1p0,recovered,True,1.538889684,False
44,tol_1p0,not_recovered,True,21.125763909,True
44,tol_1p5,not_recovered,True,21.22086281,True
44,archived_1p0,not_recovered,True,20.821015848000002,True
45,tol_1p0,recovered,True,2.6297764569999993,True
45,tol_1p5,recovered,True,2.5639254320000004,True
45,archived_1p0,recovered,True,2.747043448,True
46,tol_1p0,recovered,True,4.923483515,True
46,tol_1p5,recovered,True,4.883692819999999,True
46,archived_1p0,recovered,True,4.646215083,True
47,tol_1p0,recovered,True,1.068638816,False
47,tol_1p5,recovered,True,1.0013509630000001,False
47,archived_1p0,recovered,True,1.1724443229999997,False
48,tol_1p0,recovered,True,41.577642110999996,True
48,tol_1p5,recovered,True,41.96460102600001,True
48,archived_1p0,recovered,True,42.370206128999996,True
49,tol_1p0,recovered,True,1.6256706309999998,False
49,tol_1p5,recovered,True,1.692897893,False
49,archived_1p0,recovered,True,2.0176265649999996,False
50,tol_1p0,recovered,True,1.15208968,False
50,tol_1p5,recovered,True,1.159892957,False
50,archived_1p0,recovered,True,1.057901178,False
51,tol_1p0,recovered,True,1.4847726719999996,False
51,tol_1p5,recovered,True,1.4576581359999996,False
51,archived_1p0,recovered,True,1.5450506709999996,False
52,tol_1p0,recovered,True,2.757014937,True
52,tol_1p5,recovered,True,3.214004267,True
52,archived_1p0,recovered,True,3.2991560479999995,True
53,tol_1p0,recovered,True,2.130698689,False
53,tol_1p5,recovered,True,2.111055276,False
53,archived_1p0,recovered,True,2.510306012,False
54,tol_1p0,recovered,True,2.4087904119999997,False
54,tol_1p5,recovered,True,2.4599793009999997,False
54,archived_1p0,recovered,True,2.357757103,False
55,tol_1p0,recovered,True,6.792728838000002,True
55,tol_1p5,recovered,True,6.732291215,True
55,archived_1p0,recovered,True,6.770671341000001,True
56,tol_1p0,recovered,True,9.907154316,True
56,tol_1p5,recovered,True,9.76174075,True
56,archived_1p0,recovered,True,10.170047706,True
57,tol_1p0,recovered,True,1.2042846839999999,False
57,tol_1p5,recovered,True,1.2356645879999997,False
57,archived_1p0,recovered,True,1.2949331340000003,False
58,tol_1p0,recovered,True,2.0937891459999998,True
58,tol_1p5,recovered,True,2.0661089390000003,True
58,archived_1p0,recovered,True,2.5994733070000002,True
59,tol_1p0,recovered,True,1.8508791939999998,False
59,tol_1p5,recovered,True,1.7945702900000002,False
59,archived_1p0,recovered,True,2.0372075279999997,False
60,tol_1p0,recovered,True,1.1599676429999999,False
60,tol_1p5,recovered,True,1.1771093049999999,False
60,archived_1p0,recovered,True,1.221170388,False
61,tol_1p0,recovered,True,11.803981842999999,False
61,tol_1p5,recovered,True,11.054473221,False
61,archived_1p0,recovered,True,11.627315057,False
62,tol_1p0,recovered,True,3.529097544,True
62,tol_1p5,recovered,True,3.520225034,True
62,archived_1p0,recovered,True,3.578699063,True
63,tol_1p0,recovered,True,1.550272919,False
63,tol_1p5,recovered,True,1.494524759,False
63,archived_1p0,recovered,True,1.6722687770000002,False
64,tol_1p0,recovered,True,1.3594143209999996,False
64,tol_1p5,recovered,True,1.3056974729999997,False
64,archived_1p0,recovered,True,1.5045852069999999,False
65,tol_1p0,recovered,True,2.473004541,False
65,tol_1p5,recovered,True,2.3901309249999994,False
65,archived_1p0,recovered,True,2.660683263,False
66,tol_1p0,recovered,True,40.51575900700001,True
66,tol_1p5,recovered,True,40.080002101999995,True
66,archived_1p0,recovered,True,40.629394818,True
67,tol_1p0,recovered,True,4.6398246069999995,True
67,tol_1p5,recovered,True,4.668511741,True
67,archived_1p0,recovered,True,4.798006049000001,True
68,tol_1p0,recovered,True,6.307370508,True
68,tol_1p5,recovered,True,6.371078154,True
68,archived_1p0,recovered,True,6.4251999390000005,True
69,tol_1p0,recovered,True,6.1238413959999995,True
69,tol_1p5,recovered,True,6.291213357999999,True
69,archived_1p0,recovered,True,6.55117581,True
70,tol_1p0,recovered,True,1.627078977,False
70,tol_1p5,recovered,True,1.609993798,False
70,archived_1p0,recovered,True,1.610189345,False
71,tol_1p0,recovered,True,6.46682899,True
71,tol_1p5,recovered,True,6.2993313429999995,True
71,archived_1p0,recovered,True,6.829953991000001,True
72,tol_1p0,recovered,True,2.523830318,False
72,tol_1p5,recovered,True,2.695293591,False
72,archived_1p0,recovered,True,2.565816838,False
73,tol_1p0,recovered,True,1.2973623189999999,False
73,tol_1p5,recovered,True,1.3261632739999998,False
73,archived_1p0,recovered,True,1.3316827569999998,False
74,tol_1p0,recovered,True,8.922369818,False
74,tol_1p5,recovered,True,8.711501364999998,False
74,archived_1p0,recovered,True,8.740070059999999,False
75,tol_1p0,recovered,True,1.256431895,False
75,tol_1p5,recovered,True,1.2664407069999999,False
75,archived_1p0,recovered,True,1.3244310060000002,False
76,tol_1p0,recovered,True,2.6951042569999997,False
76,tol_1p5,recovered,True,2.6835144389999996,False
76,archived_1p0,recovered,True,3.01913289,False
77,tol_1p0,recovered,True,2.8266427189999996,True
