469242_0|COMPLETED|408|01:08:47|32|2026-09-11T11:10:49|2026-09-11T11:10:49|2026-09-11T11:17:37|
469242_0.batch|COMPLETED|408|01:08:47|32|2026-09-11T11:10:49|2026-09-11T11:10:49|2026-09-11T11:17:37|4412188K
469242_0.extern|COMPLETED|408|00:00.003|32|2026-09-11T11:10:49|2026-09-11T11:10:49|2026-09-11T11:17:37|1040K
469242_1|COMPLETED|408|01:06:26|32|2026-09-11T11:10:49|2026-09-11T11:10:50|2026-09-11T11:17:38|
469242_1.batch|COMPLETED|408|01:06:26|32|2026-09-11T11:10:50|2026-09-11T11:10:50|2026-09-11T11:17:38|2807096K
469242_1.extern|COMPLETED|408|00:00.003|32|2026-09-11T11:10:50|2026-09-11T11:10:50|2026-09-11T11:17:38|1020K
469242_2|COMPLETED|408|01:07:37|32|2026-09-11T11:10:49|2026-09-11T11:10:50|2026-09-11T11:17:38|
469242_2.batch|COMPLETED|408|01:07:37|32|2026-09-11T11:10:50|2026-09-11T11:10:50|2026-09-11T11:17:38|2869468K
469242_2.extern|COMPLETED|408|00:00.003|32|2026-09-11T11:10:50|2026-09-11T11:10:50|2026-09-11T11:17:38|1020K
469242_3|COMPLETED|407|01:06:18|32|2026-09-11T11:10:49|2026-09-11T11:10:50|2026-09-11T11:17:37|
469242_3.batch|COMPLETED|407|01:06:18|32|2026-09-11T11:10:50|2026-09-11T11:10:50|2026-09-11T11:17:37|4053040K
469242_3.extern|COMPLETED|407|00:00.003|32|2026-09-11T11:10:50|2026-09-11T11:10:50|2026-09-11T11:17:37|1032K
469242_4|COMPLETED|407|01:08:38|32|2026-09-11T11:10:49|2026-09-11T11:10:50|2026-09-11T11:17:37|
469242_4.batch|COMPLETED|407|01:08:38|32|2026-09-11T11:10:50|2026-09-11T11:10:50|2026-09-11T11:17:37|4455948K
469242_4.extern|COMPLETED|407|00:00.003|32|2026-09-11T11:10:50|2026-09-11T11:10:50|2026-09-11T11:17:37|1092K
469242_5|COMPLETED|408|01:16:42|32|2026-09-11T11:10:49|2026-09-11T11:10:50|2026-09-11T11:17:38|
469242_5.batch|COMPLETED|408|01:16:42|32|2026-09-11T11:10:50|2026-09-11T11:10:50|2026-09-11T11:17:38|3804296K
469242_5.extern|COMPLETED|408|00:00.003|32|2026-09-11T11:10:50|2026-09-11T11:10:50|2026-09-11T11:17:38|1112K
469242_6|COMPLETED|408|01:08:11|32|2026-09-11T11:10:49|2026-09-11T11:10:50|2026-09-11T11:17:38|
469242_6.batch|COMPLETED|408|01:08:11|32|2026-09-11T11:10:50|2026-09-11T11:10:50|2026-09-11T11:17:38|2949148K
469242_6.extern|COMPLETED|408|00:00.003|32|2026-09-11T11:10:50|2026-09-11T11:10:50|2026-09-11T11:17:38|1056K
469242_7|COMPLETED|408|01:06:56|32|2026-09-11T11:10:49|2026-09-11T11:10:50|2026-09-11T11:17:38|
469242_7.batch|COMPLETED|408|01:06:56|32|2026-09-11T11:10:50|2026-09-11T11:10:50|2026-09-11T11:17:38|2885068K
469242_7.extern|COMPLETED|408|00:00.003|32|2026-09-11T11:10:50|2026-09-11T11:10:50|2026-09-11T11:17:38|1016K
469242_8|COMPLETED|408|01:07:26|32|2026-09-11T11:10:49|2026-09-11T11:10:50|2026-09-11T11:17:38|
469242_8.batch|COMPLETED|408|01:07:26|32|2026-09-11T11:10:50|2026-09-11T11:10:50|2026-09-11T11:17:38|4542492K
469242_8.extern|COMPLETED|408|00:00.003|32|2026-09-11T11:10:50|2026-09-11T11:10:50|2026-09-11T11:17:38|1092K
469242_9|COMPLETED|407|01:18:32|32|2026-09-11T11:10:49|2026-09-11T11:10:50|2026-09-11T11:17:37|
469242_9.batch|COMPLETED|407|01:18:32|32|2026-09-11T11:10:50|2026-09-11T11:10:50|2026-09-11T11:17:37|5371116K
469242_9.extern|COMPLETED|408|00:00.003|32|2026-09-11T11:10:50|2026-09-11T11:10:50|2026-09-11T11:17:38|1032K
469242_10|COMPLETED|408|01:16:25|32|2026-09-11T11:10:49|2026-09-11T11:10:50|2026-09-11T11:17:38|
469242_10.batch|COMPLETED|408|01:16:25|32|2026-09-11T11:10:50|2026-09-11T11:10:50|2026-09-11T11:17:38|4091M
469242_10.extern|COMPLETED|408|00:00.003|32|2026-09-11T11:10:50|2026-09-11T11:10:50|2026-09-11T11:17:38|1056K
469242_11|COMPLETED|408|01:04:32|32|2026-09-11T11:10:49|2026-09-11T11:10:50|2026-09-11T11:17:38|
469242_11.batch|COMPLETED|408|01:04:32|32|2026-09-11T11:10:50|2026-09-11T11:10:50|2026-09-11T11:17:38|2787256K
469242_11.extern|COMPLETED|408|00:00.003|32|2026-09-11T11:10:50|2026-09-11T11:10:50|2026-09-11T11:17:38|992K
