step_id,n_atoms,core_size,label,ts_file,n_imag,reaction_mode_freq,core_fraction,imag_core_freq,imag_core_fraction,error
pr11.cycloadditions_tsIIa,67,2,groundtruth,ts_groundtruth_01_reference_ts_01_TS-IIa.xyz,1,-22.5325,0.32891351672273894,-22.5325,0.32891351672273894,
pr11.cycloadditions_tsIIb,67,2,groundtruth,ts_groundtruth_01_reference_ts_01_TS-IIb.xyz,1,-207.6284,0.7855915934121451,-207.6284,0.7855915934121451,
pr11.cycloadditions_tsIVa,64,2,groundtruth,ts_groundtruth_01_reference_ts_01_TS-IVa.xyz,1,-95.752,0.4505516752707764,-95.752,0.4505516752707764,
pr11.cycloadditions_tsIVb,64,2,groundtruth,ts_groundtruth_01_reference_ts_01_TS-IVb.xyz,1,-133.8427,0.45145920190589633,-133.8427,0.45145920190589633,
pr11.cycloadditions_tsIa,67,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS-Ia.xyz,1,1415.7604,0.6396513724704468,-149.5476,0.5283864541832669,
pr11.cycloadditions_tsIb,67,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS-Ib.xyz,1,1427.5116,0.6926637818255007,-137.8753,0.4746562280437619,
pr12.Co_Silylation_JACS2015_TS_B-CStep1,123,4,groundtruth,ts_groundtruth_01_reference_ts_01_TS_B_to_C.xyz,6,1919.3215,0.9971106904453523,-44.1515,0.5317878818028057,
pr12.Co_Silylation_JACS2015_TS_C-DStep2,136,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS_C_to_D.xyz,2,1471.1841,0.5529540699412174,-85.8799,0.4602107375815353,
pr12.Co_Silylation_JACS2015_TS_Dstar-Estar,149,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS_Dstar_to_Estar.xyz,3,-221.7949,0.8158797417271993,-221.7949,0.8158797417271993,
pr13.Cyclobutane_JOC2023_TS-CD1-3_step2,46,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS-CD1-3.xyz,2,-291.496,0.8935851318944844,-291.496,0.8935851318944844,
pr13.Cyclobutane_JOC2023_TS-CD_step1,46,4,groundtruth,ts_groundtruth_01_reference_ts_01_TS-CD.xyz,2,-294.7119,0.7595286319278218,-294.7119,0.7595286319278218,
pr13.Cyclobutane_JOC2023_TS-D1G-3_step3G,46,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS-D1G-3.xyz,2,-345.7002,0.9588819120923638,-345.7002,0.9588819120923638,
