dataset,step_id,n_atoms,n_mapped,n_broken,n_formed,charge,multiplicity,broken_bonds,formed_bonds,mechanism,step
Benchmark,Cyclobutane_JOC2023_updated_TS-CD1-3_step2,46,46,1,1,0,3,1(C)-8(N),8(N)-42(N),Cyclobutane_JOC2023_updated,TS-CD1-3_step2
Benchmark,Cyclobutane_JOC2023_updated_TS-CD_step1,46,44,3,1,0,1,0(C)-8(N);1(C)-8(N);8(N)-42(N),44(N)-45(N),Cyclobutane_JOC2023_updated,TS-CD_step1
Benchmark,Cyclobutane_JOC2023_updated_TS-D1D-3step3D-3,46,44,2,1,0,3,0(C)-8(N);8(N)-42(N),44(N)-45(N),Cyclobutane_JOC2023_updated,TS-D1D-3step3D-3
Benchmark,Cyclobutane_JOC2023_updated_TS-D1G-3_step3G,46,46,1,1,0,3,8(N)-42(N),1(C)-42(N),Cyclobutane_JOC2023_updated,TS-D1G-3_step3G
Benchmark,pr1.tempo_ts1,26,26,0,0,0,1,,,pr1.tempo,ts1
Benchmark,pr1.tempo_ts10,57,57,2,2,0,1,0(I)-12(O);13(C)-15(H),12(O)-13(C);15(H)-27(N),pr1.tempo,ts10
Benchmark,pr1.tempo_ts2,29,29,1,2,0,1,22(O)-28(H),0(O)-10(I);26(O)-27(H),pr1.tempo,ts2
Benchmark,pr1.tempo_ts3,57,57,1,1,0,1,12(H)-49(O),12(H)-14(N),pr1.tempo,ts3
Benchmark,pr1.tempo_ts4,57,57,2,2,0,1,0(I)-13(O);54(O)-55(H),11(O)-25(I);55(O)-56(H),pr1.tempo,ts4
Benchmark,pr1.tempo_ts5,43,43,0,0,0,1,,,pr1.tempo,ts5
Benchmark,pr1.tempo_ts6,43,43,2,2,0,1,30(O)-41(I);33(O)-34(H),0(I)-13(O);40(O)-41(H),pr1.tempo,ts6
Benchmark,pr1.tempo_ts8,65,65,2,2,0,1,11(O)-12(C);19(O)-20(N),28(O)-29(N);61(C)-62(O),pr1.tempo,ts8
Benchmark,pr1.tempo_ts9,57,57,1,0,0,1,0(I)-28(O),,pr1.tempo,ts9
Benchmark,pr10.carborane_ts1,74,74,1,2,1,1,0(B)-52(C),0(B)-50(C);51(C)-52(C),pr10.carborane,ts1
Benchmark,pr10.carborane_ts2,74,74,1,0,1,1,49(C)-50(C),,pr10.carborane,ts2
Benchmark,pr10.carborane_ts3,74,74,2,2,1,1,0(B)-49(C);50(C)-51(C),0(B)-51(C);49(C)-50(C),pr10.carborane,ts3
Benchmark,pr11.cycloadditions_tsIIIa,64,64,1,1,0,1,1(C)-12(C),4(C)-34(N),pr11.cycloadditions,tsIIIa
Benchmark,pr11.cycloadditions_tsIIIb,64,64,1,1,0,1,1(C)-12(C),4(C)-34(N),pr11.cycloadditions,tsIIIb
Benchmark,pr11.cycloadditions_tsIIa,67,67,0,1,0,1,,12(C)-25(C),pr11.cycloadditions,tsIIa
Benchmark,pr11.cycloadditions_tsIIb,67,67,0,1,0,1,,12(C)-25(C),pr11.cycloadditions,tsIIb
Benchmark,pr11.cycloadditions_tsIVa,64,64,0,1,0,1,,6(C)-10(C),pr11.cycloadditions,tsIVa
Benchmark,pr11.cycloadditions_tsIVb,64,64,0,1,0,1,,6(C)-10(C),pr11.cycloadditions,tsIVb
Benchmark,pr11.cycloadditions_tsIa,67,67,1,1,0,1,4(C)-5(C),8(C)-38(N),pr11.cycloadditions,tsIa
Benchmark,pr11.cycloadditions_tsIb,67,67,1,1,0,1,4(C)-5(C),8(C)-38(N),pr11.cycloadditions,tsIb
Benchmark,pr12.Co_Silylation_JACS2015_TS_B-CStep1,123,123,1,2,-1,4,4(N)-6(N),0(Co)-18(N);20(N)-22(Si),pr12.Co_Silylation_JACS2015,TS_B-CStep1
Benchmark,pr12.Co_Silylation_JACS2015_TS_C-DStep2,136,136,1,1,-1,5,18(N)-20(N),87(Si)-134(N),pr12.Co_Silylation_JACS2015,TS_C-DStep2
Benchmark,pr12.Co_Silylation_JACS2015_TS_Dstar-Estar,149,149,1,1,-1,6,0(Co)-132(N),98(N)-100(Si),pr12.Co_Silylation_JACS2015,TS_Dstar-Estar
Benchmark,pr13.Cyclobutane_JOC2023_TS-CD1-3_step2,46,46,1,1,0,3,1(C)-8(N),8(N)-42(N),pr13.Cyclobutane_JOC2023,TS-CD1-3_step2
Benchmark,pr13.Cyclobutane_JOC2023_TS-CD_step1,46,44,3,1,0,1,0(C)-8(N);1(C)-8(N);8(N)-42(N),44(N)-45(N),pr13.Cyclobutane_JOC2023,TS-CD_step1
Benchmark,pr13.Cyclobutane_JOC2023_TS-D1G-3_step3G,46,46,1,1,0,3,8(N)-42(N),1(C)-42(N),pr13.Cyclobutane_JOC2023,TS-D1G-3_step3G
Benchmark,pr13.Cyclobutane_JOC2023_multiplicity_fixed_TS-CD1-3_step2,46,46,1,1,0,3,1(C)-8(N),8(N)-42(N),pr13.Cyclobutane_JOC2023_multiplicity_fixed,TS-CD1-3_step2
Benchmark,pr13.Cyclobutane_JOC2023_multiplicity_fixed_TS-D1G-3_step3G,46,46,1,1,0,3,8(N)-42(N),1(C)-42(N),pr13.Cyclobutane_JOC2023_multiplicity_fixed,TS-D1G-3_step3G
Benchmark,pr14.Pd_hydroamination_JOC2025_TS11_step1_reductive_coupling,133,133,2,2,0,1,89(Pd)-91(C);130(N)-132(H),87(O)-132(H);91(C)-130(N),pr14.Pd_hydroamination_JOC2025,TS11_step1_reductive_coupling
Benchmark,pr14.Pd_hydroamination_JOC2025_TS12_step2_prot_oxidation,133,133,2,1,0,1,86(O)-89(H);95(C)-97(C),97(C)-103(H),pr14.Pd_hydroamination_JOC2025,TS12_step2_prot_oxidation
Benchmark,pr14.Pd_hydroamination_JOC2025_TS13_step3_bHelimination,133,133,2,2,0,1,88(Pd)-95(C);92(C)-99(H),88(H)-89(Pd);92(C)-93(C),pr14.Pd_hydroamination_JOC2025,TS13_step3_bHelimination
Benchmark,pr14.Pd_hydroamination_JOC2025_TS14_step4_reductive_elimination,133,133,2,1,0,1,87(O)-89(Pd);88(H)-89(Pd),87(O)-88(H),pr14.Pd_hydroamination_JOC2025,TS14_step4_reductive_elimination
Benchmark,pr14.Pd_hydroamination_JOC2025_TS1_step1_OxidativeAdition_bluepath,90,90,1,1,0,1,77(O)-84(H),88(H)-89(Pd),pr14.Pd_hydroamination_JOC2025,TS1_step1_OxidativeAdition_bluepath
Benchmark,pr14.Pd_hydroamination_JOC2025_TS2_step1_OxidativeAdition_blackpath,90,90,1,1,0,1,77(O)-84(H),88(H)-89(Pd),pr14.Pd_hydroamination_JOC2025,TS2_step1_OxidativeAdition_blackpath
Benchmark,pr14.Pd_hydroamination_JOC2025_TS3_step2_alkene_inserion,105,105,2,3,0,1,88(H)-89(Pd);92(C)-93(C),89(Pd)-91(C);89(Pd)-93(C);95(C)-101(H),pr14.Pd_hydroamination_JOC2025,TS3_step2_alkene_inserion
Benchmark,pr15.Fe_crosscoupling_ACScat2023_TS-a_step1_halogen_abstraction_mult1,83,83,1,1,0,1,73(C)-75(Br),46(Fe)-58(Br),pr15.Fe_crosscoupling_ACScat2023,TS-a_step1_halogen_abstraction_mult1
Benchmark,pr15.Fe_crosscoupling_ACScat2023_TS-a_step1_halogen_abstraction_mult3,83,83,1,1,0,3,73(C)-75(Br),12(Fe)-37(Br),pr15.Fe_crosscoupling_ACScat2023,TS-a_step1_halogen_abstraction_mult3
Benchmark,pr15.Fe_crosscoupling_ACScat2023_TS-a_step1_halogen_abstraction_mult5,83,83,1,1,0,5,73(C)-75(Br),46(Fe)-58(Br),pr15.Fe_crosscoupling_ACScat2023,TS-a_step1_halogen_abstraction_mult5
Benchmark,pr15.Fe_crosscoupling_ACScat2023_TS-b_step2_radical_recombination_mult2,72,72,0,1,0,2,,16(Fe)-26(C),pr15.Fe_crosscoupling_ACScat2023,TS-b_step2_radical_recombination_mult2
Benchmark,pr15.Fe_crosscoupling_ACScat2023_TS-b_step2_radical_recombination_mult4,72,72,0,1,0,4,,16(Fe)-24(C),pr15.Fe_crosscoupling_ACScat2023,TS-b_step2_radical_recombination_mult4
Benchmark,pr15.Fe_crosscoupling_ACScat2023_TS-b_step2_radical_recombination_mult6,72,72,0,1,0,6,,16(Fe)-24(C),pr15.Fe_crosscoupling_ACScat2023,TS-b_step2_radical_recombination_mult6
Benchmark,pr15.Fe_crosscoupling_ACScat2023_TS-c_step3_reductive_elimination_mult2,72,72,2,1,0,2,16(Fe)-26(C);16(Fe)-28(C),59(C)-61(C),pr15.Fe_crosscoupling_ACScat2023,TS-c_step3_reductive_elimination_mult2
Benchmark,pr15.Fe_crosscoupling_ACScat2023_TS-c_step3_reductive_elimination_mult4,72,72,2,1,0,4,16(Fe)-24(C);16(Fe)-26(C),59(C)-61(C),pr15.Fe_crosscoupling_ACScat2023,TS-c_step3_reductive_elimination_mult4
Benchmark,pr15.Fe_crosscoupling_ACScat2023_TS-c_step3_reductive_elimination_mult6,72,72,2,1,0,6,16(Fe)-24(C);16(Fe)-26(C),59(C)-61(C),pr15.Fe_crosscoupling_ACScat2023,TS-c_step3_reductive_elimination_mult6
Benchmark,pr15.Fe_crosscoupling_ACScat2023_TS2_Step3_bluepath_side_reation_mult2,70,70,2,1,0,2,46(Fe)-47(C);46(Fe)-59(C),51(C)-59(C),pr15.Fe_crosscoupling_ACScat2023,TS2_Step3_bluepath_side_reation_mult2
Benchmark,pr15.Fe_crosscoupling_ACScat2023_TS2_Step3_bluepath_side_reation_mult4,70,70,2,1,0,4,12(Fe)-15(C);12(Fe)-26(C),51(C)-59(C),pr15.Fe_crosscoupling_ACScat2023,TS2_Step3_bluepath_side_reation_mult4
Benchmark,pr15.Fe_crosscoupling_ACScat2023_TS2_Step3_bluepath_side_reation_mult6,70,70,2,1,0,6,46(Fe)-47(C);46(Fe)-59(C),51(C)-59(C),pr15.Fe_crosscoupling_ACScat2023,TS2_Step3_bluepath_side_reation_mult6
Benchmark,pr15.Fe_crosscoupling_ACScat2023_TS2_prime_step2_redPath_mult1,83,83,1,1,0,1,46(Fe)-59(C),70(C)-72(C),pr15.Fe_crosscoupling_ACScat2023,TS2_prime_step2_redPath_mult1
Benchmark,pr15.Fe_crosscoupling_ACScat2023_TS2_prime_step2_redPath_mult3,83,83,1,1,0,3,12(Fe)-26(C),70(C)-72(C),pr15.Fe_crosscoupling_ACScat2023,TS2_prime_step2_redPath_mult3
Benchmark,pr15.Fe_crosscoupling_ACScat2023_TS2_prime_step2_redPath_mult5,83,83,1,1,0,5,46(Fe)-59(C),70(C)-72(C),pr15.Fe_crosscoupling_ACScat2023,TS2_prime_step2_redPath_mult5
Benchmark,pr15.Fe_crosscoupling_ACScat2023_TS7_step1_radical_recombination_mult2,82,82,0,1,0,2,,12(Fe)-37(C),pr15.Fe_crosscoupling_ACScat2023,TS7_step1_radical_recombination_mult2
Benchmark,pr15.Fe_crosscoupling_ACScat2023_TS7_step1_radical_recombination_mult4,82,82,0,1,0,4,,12(Fe)-37(C),pr15.Fe_crosscoupling_ACScat2023,TS7_step1_radical_recombination_mult4
Benchmark,pr15.Fe_crosscoupling_ACScat2023_TS7_step1_radical_recombination_mult6,82,82,1,1,0,6,10(P)-12(Fe),12(Fe)-37(C),pr15.Fe_crosscoupling_ACScat2023,TS7_step1_radical_recombination_mult6
Benchmark,pr15.Fe_crosscoupling_ACScat2023_TS8_step2_reductive_elimination_mult2,82,82,2,1,0,2,12(Fe)-26(C);12(Fe)-37(C),69(C)-71(C),pr15.Fe_crosscoupling_ACScat2023,TS8_step2_reductive_elimination_mult2
Benchmark,pr15.Fe_crosscoupling_ACScat2023_TS8_step2_reductive_elimination_mult4,82,82,2,1,0,4,12(Fe)-26(C);12(Fe)-37(C),69(C)-71(C),pr15.Fe_crosscoupling_ACScat2023,TS8_step2_reductive_elimination_mult4
Benchmark,pr15.Fe_crosscoupling_ACScat2023_TS8_step2_reductive_elimination_mult6,82,82,2,2,0,6,12(Fe)-26(C);12(Fe)-37(C),0(Fe)-1(P);69(C)-71(C),pr15.Fe_crosscoupling_ACScat2023,TS8_step2_reductive_elimination_mult6
Benchmark,pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-a_step1_halogen_abstraction_mult1,83,83,1,1,0,1,73(C)-75(Br),46(Fe)-58(Br),pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed,TS-a_step1_halogen_abstraction_mult1
Benchmark,pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-a_step1_halogen_abstraction_mult3,83,83,1,1,0,3,73(C)-75(Br),12(Fe)-37(Br),pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed,TS-a_step1_halogen_abstraction_mult3
Benchmark,pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-a_step1_halogen_abstraction_mult5,83,83,1,1,0,5,73(C)-75(Br),46(Fe)-58(Br),pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed,TS-a_step1_halogen_abstraction_mult5
Benchmark,pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-b_step2_radical_recombination_mult2,72,72,0,1,0,2,,16(Fe)-26(C),pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed,TS-b_step2_radical_recombination_mult2
Benchmark,pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-b_step2_radical_recombination_mult4,72,72,0,1,0,4,,16(Fe)-24(C),pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed,TS-b_step2_radical_recombination_mult4
Benchmark,pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-b_step2_radical_recombination_mult6,72,72,0,1,0,6,,16(Fe)-24(C),pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed,TS-b_step2_radical_recombination_mult6
Benchmark,pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS2_prime_step2_redPath_mult1,83,83,1,1,0,1,46(Fe)-59(C),70(C)-72(C),pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed,TS2_prime_step2_redPath_mult1
Benchmark,pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS2_prime_step2_redPath_mult3,83,83,1,1,0,3,12(Fe)-26(C),70(C)-72(C),pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed,TS2_prime_step2_redPath_mult3
Benchmark,pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS2_prime_step2_redPath_mult5,83,83,1,1,0,5,46(Fe)-59(C),70(C)-72(C),pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed,TS2_prime_step2_redPath_mult5
Benchmark,pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS7_step1_radical_recombination_mult2,82,82,0,1,0,2,,12(Fe)-37(C),pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed,TS7_step1_radical_recombination_mult2
Benchmark,pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS7_step1_radical_recombination_mult4,82,82,0,1,0,4,,12(Fe)-37(C),pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed,TS7_step1_radical_recombination_mult4
Benchmark,pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS7_step1_radical_recombination_mult6,82,82,1,1,0,6,10(P)-12(Fe),12(Fe)-37(C),pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed,TS7_step1_radical_recombination_mult6
Benchmark,pr16.carbocation_ts11,18,18,1,1,1,1,3(C)-10(H),2(C)-10(H),pr16.carbocation,ts11
Benchmark,pr16.carbocation_ts12,18,18,2,1,1,1,2(C)-10(H);12(C)-16(C),15(C)-17(H),pr16.carbocation,ts12
Benchmark,pr16.carbocation_ts2,18,18,0,0,1,1,,,pr16.carbocation,ts2
Benchmark,pr16.carbocation_ts3,18,18,0,1,1,1,,3(C)-9(C),pr16.carbocation,ts3
Benchmark,pr16.carbocation_ts4,18,18,0,0,1,1,,,pr16.carbocation,ts4
Benchmark,pr16.carbocation_ts5,18,18,3,1,1,1,0(C)-2(C);2(C)-6(C);8(C)-10(C),3(C)-12(C),pr16.carbocation,ts5
Benchmark,pr16.carbocation_ts7,18,18,1,2,1,1,4(C)-9(H),1(C)-2(C);14(C)-15(H),pr16.carbocation,ts7
Benchmark,pr16.carbocation_ts8,18,18,2,1,1,1,3(C)-10(H);12(C)-16(C),15(C)-17(H),pr16.carbocation,ts8
Benchmark,pr16.carbocation_ts9,18,18,1,1,1,1,14(C)-15(H),2(C)-11(H),pr16.carbocation,ts9
